2025-06-07 16:50:03,778 | DEBUG | python_multipart.multipart | Calling on_header_value with data[57:103]
2025-06-07 16:50:03,779 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:03,779 | DEBUG | python_multipart.multipart | Calling on_header_field with data[105:117]
2025-06-07 16:50:03,779 | DEBUG | python_multipart.multipart | Calling on_header_value with data[119:129]
2025-06-07 16:50:03,780 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:03,780 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:50:03,781 | DEBUG | python_multipart.multipart | Calling on_part_data with data[133:15832]
2025-06-07 16:50:03,781 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:50:03,781 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:50:03,782 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15868:15887]
2025-06-07 16:50:03,782 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15889:15935]
2025-06-07 16:50:03,782 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:03,783 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15937:15949]
2025-06-07 16:50:03,783 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15951:15961]
2025-06-07 16:50:03,784 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:03,784 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:50:03,785 | DEBUG | python_multipart.multipart | Calling on_part_data with data[15965:31792]
2025-06-07 16:50:03,785 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:50:03,785 | DEBUG | python_multipart.multipart | Calling on_end with no data
2025-06-07 16:50:03,786 | INFO | app.face_logic | 📥 Processing 5 file(s)
2025-06-07 16:50:03,786 | INFO | app.face_logic | 🔎 Processing: face1.jpg
2025-06-07 16:50:04,130 | INFO | app.face_logic | ✅ Face found in face1.jpg
2025-06-07 16:50:04,133 | INFO | app.face_logic | 🔎 Processing: face2.jpg
2025-06-07 16:50:04,401 | INFO | app.face_logic | ✅ Face found in face2.jpg
2025-06-07 16:50:04,402 | INFO | app.face_logic | 🔎 Processing: face3.jpg
2025-06-07 16:50:04,582 | INFO | app.face_logic | ✅ Face found in face3.jpg
2025-06-07 16:50:04,583 | INFO | app.face_logic | 🔎 Processing: face4.jpg
2025-06-07 16:50:04,991 | INFO | app.face_logic | ✅ Face found in face4.jpg
2025-06-07 16:50:04,992 | INFO | app.face_logic | 🔎 Processing: face5.jpg
2025-06-07 16:50:05,325 | INFO | app.face_logic | ✅ Face found in face5.jpg
2025-06-07 16:50:05,332 | DEBUG | httpcore.connection | close.started
2025-06-07 16:50:05,333 | DEBUG | httpcore.connection | close.complete
2025-06-07 16:50:05,334 | DEBUG | httpcore.connection | connect_tcp.started host='qdrant' port=6333 local_address=None timeout=5.0 socket_options=None
2025-06-07 16:50:05,340 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f8271d10130>
2025-06-07 16:50:05,341 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-06-07 16:50:05,356 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 16:50:05,365 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-06-07 16:50:05,368 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 16:50:05,373 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2025-06-07 16:50:05,375 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'content-encoding', b'gzip'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'date', b'Sat, 07 Jun 2025 16:50:05 GMT')])
2025-06-07 16:50:05,376 | INFO | httpx | HTTP Request: GET http://qdrant:6333/collections/faces/exists "HTTP/1.1 200 OK"
2025-06-07 16:50:05,376 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2025-06-07 16:50:05,376 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-06-07 16:50:05,377 | DEBUG | httpcore.http11 | response_closed.started
2025-06-07 16:50:05,377 | DEBUG | httpcore.http11 | response_closed.complete
2025-06-07 16:50:05,382 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-06-07 16:50:05,383 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-06-07 16:50:05,383 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-06-07 16:50:05,383 | DEBUG | httpcore.http11 | send_request_body.complete
2025-06-07 16:50:05,384 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-06-07 16:50:05,398 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'content-encoding', b'gzip'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'date', b'Sat, 07 Jun 2025 16:50:05 GMT')])
2025-06-07 16:50:05,398 | INFO | httpx | HTTP Request: POST http://qdrant:6333/collections/faces/points/search "HTTP/1.1 200 OK"
2025-06-07 16:50:05,399 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-06-07 16:50:05,400 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-06-07 16:50:05,401 | DEBUG | httpcore.http11 | response_closed.started
2025-06-07 16:50:05,401 | DEBUG | httpcore.http11 | response_closed.complete
2025-06-07 16:50:05,402 | INFO | app.face_logic | 🔍 Top score: 0.94666696
2025-06-07 16:50:05,402 | INFO | app.face_logic | ✅ Face recognized as ID 100000000
2025-06-07 16:50:13,867 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:50:13,868 | DEBUG | python_multipart.multipart | Calling on_header_field with data[42:61]
2025-06-07 16:50:13,868 | DEBUG | python_multipart.multipart | Calling on_header_value with data[63:109]
2025-06-07 16:50:13,869 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,869 | DEBUG | python_multipart.multipart | Calling on_header_field with data[111:123]
2025-06-07 16:50:13,869 | DEBUG | python_multipart.multipart | Calling on_header_value with data[125:135]
2025-06-07 16:50:13,870 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,870 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2025-06-07 16:50:13,871 | DEBUG | python_multipart.multipart | Calling on_part_data with data[139:15632]
2025-06-07 16:50:13,871 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2025-06-07 16:50:13,871 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2025-06-07 16:50:13,872 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15676:15695]
2025-06-07 16:50:13,872 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15697:15743]
2025-06-07 16:50:13,872 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2025-06-07 16:50:13,873 | DEBUG | python_multipart.multipart | Calling on_header_field with data[15745:15757]
2025-06-07 16:50:13,873 | DEBUG | python_multipart.multipart | Calling on_header_value with data[15759:15769]
